Lon,Lat
19.95000,50.05000
19.95033,50.05000
19.95067,50.05000
19.95512,50.05000
19.95545,50.05000
19.95578,50.05000
19.95612,50.05000
19.95645,50.05000
19.95678,50.05000
19.96342,50.05000
19.96375,50.05000
19.96408,50.05000
19.96442,50.05000
19.96475,50.05000
19.96508,50.05000
19.95030,50.05002
19.95063,50.05002
19.95512,50.05002
19.95545,50.05002
19.95578,50.05002
19.95612,50.05002
19.95645,50.05002
19.95678,50.05002
19.96345,50.05002
19.96378,50.05002
19.96412,50.05002
19.96445,50.05002
19.96478,50.05002
19.96512,50.05002
19.95030,50.05003
19.95063,50.05003
19.95512,50.05003
19.95545,50.05003
19.95578,50.05003
19.95612,50.05003
19.95645,50.05003
19.95678,50.05003
19.96347,50.05003
19.96380,50.05003
19.96413,50.05003
19.96447,50.05003
19.96480,50.05003
19.96513,50.05003
19.95030,50.05005
19.95063,50.05005
19.95515,50.05005
19.95548,50.05005
19.95582,50.05005
19.95615,50.05005
19.95648,50.05005
19.95682,50.05005
19.96355,50.05005
19.96388,50.05005
19.96422,50.05005
19.96455,50.05005
19.96488,50.05005
19.95002,50.05007
19.95035,50.05007
19.95068,50.05007
19.95522,50.05007
19.95555,50.05007
19.95588,50.05007
19.95622,50.05007
19.95655,50.05007
19.95688,50.05007
19.96363,50.05007
19.96397,50.05007
19.96430,50.05007
19.96463,50.05007
19.96497,50.05007
19.95008,50.05008
19.95042,50.05008
19.95075,50.05008
19.95530,50.05008
19.95563,50.05008
19.95597,50.05008
19.95630,50.05008
19.95663,50.05008
19.95697,50.05008
19.96375,50.05008
19.96408,50.05008
19.96442,50.05008
19.96475,50.05008
19.96508,50.05008
19.95017,50.05010
19.95050,50.05010
19.95083,50.05010
19.95542,50.05010
19.95575,50.05010
19.95608,50.05010
19.95642,50.05010
19.95675,50.05010
19.96357,50.05010
19.96390,50.05010
19.96423,50.05010
19.96457,50.05010
19.96490,50.05010
19.96523,50.05010
19.95030,50.05012
19.95063,50.05012
19.95522,50.05012
19.95555,50.05012
19.95588,50.05012
19.95622,50.05012
19.95655,50.05012
19.95688,50.05012
19.96373,50.05012
19.96407,50.05012
19.96440,50.05012
19.96473,50.05012
19.96507,50.05012
19.95010,50.05013
19.95043,50.05013
19.95077,50.05013
19.95538,50.05013
19.95572,50.05013
19.95605,50.05013
19.95638,50.05013
19.95672,50.05013
19.96360,50.05013
19.96393,50.05013
19.96427,50.05013
19.96460,50.05013
19.96493,50.05013
19.96527,50.05013
19.95027,50.05015
19.95060,50.05015
19.95522,50.05015
19.95555,50.05015
19.95588,50.05015
19.95622,50.05015
19.95655,50.05015
19.95688,50.05015
19.96378,50.05015
19.96412,50.05015
19.96445,50.05015
19.96478,50.05015
19.96512,50.05015
19.95008,50.05017
19.95042,50.05017
19.95075,50.05017
19.95540,50.05017
19.95573,50.05017
19.95607,50.05017
19.95640,50.05017
19.95673,50.05017
19.96367,50.05017
19.96400,50.05017
19.96433,50.05017
19.96467,50.05017
19.96500,50.05017
19.96533,50.05017
19.95027,50.05018
19.95060,50.05018
19.95525,50.05018
19.95558,50.05018
19.95592,50.05018
19.95625,50.05018
19.95658,50.05018
19.95692,50.05018
19.96387,50.05018
19.96420,50.05018
19.96453,50.05018
19.96487,50.05018
19.96520,50.05018
19.95010,50.05020
19.95043,50.05020
19.95077,50.05020
19.95545,50.05020
19.95578,50.05020
19.95612,50.05020
19.95645,50.05020
19.95678,50.05020
19.96377,50.05020
19.96410,50.05020
19.96443,50.05020
19.96477,50.05020
19.96510,50.05020
19.96543,50.05020
19.95030,50.05022
19.95063,50.05022
19.95532,50.05022
19.95565,50.05022
19.95598,50.05022
19.95632,50.05022
19.95665,50.05022
19.95698,50.05022
19.96398,50.05022
19.96432,50.05022
19.96465,50.05022
19.96498,50.05022
19.96532,50.05022
19.95015,50.05023
19.95048,50.05023
19.95082,50.05023
19.95550,50.05023
19.95583,50.05023
19.95617,50.05023
19.95650,50.05023
19.95683,50.05023
19.96385,50.05023
19.96418,50.05023
19.96452,50.05023
19.96485,50.05023
19.96518,50.05023
19.96552,50.05023
19.95032,50.05025
19.95065,50.05025
19.95537,50.05025
19.95570,50.05025
19.95603,50.05025
19.95637,50.05025
19.95670,50.05025
19.96375,50.05025
19.96408,50.05025
19.96442,50.05025
19.96475,50.05025
19.96508,50.05025
19.96542,50.05025
19.95018,50.05027
19.95052,50.05027
19.95523,50.05027
19.95557,50.05027
19.95590,50.05027
19.95623,50.05027
19.95657,50.05027
19.95690,50.05027
19.96397,50.05027
19.96430,50.05027
19.96463,50.05027
19.96497,50.05027
19.96530,50.05027
19.95002,50.05028
19.95035,50.05028
19.95068,50.05028
19.95602,50.05028
19.95635,50.05028
19.95668,50.05028
19.96377,50.05028
19.96410,50.05028
19.96443,50.05028
19.96477,50.05028
19.96510,50.05028
19.96543,50.05028
19.95010,50.05030
19.95043,50.05030
19.95077,50.05030
19.95627,50.05030
19.95660,50.05030
19.95693,50.05030
19.96403,50.05030
19.96437,50.05030
19.96470,50.05030
19.96503,50.05030
19.96537,50.05030
19.95000,50.05032
