Lon,Lat
19.95000,50.05000
19.95033,50.05000
19.95067,50.05000
19.95100,50.05000
19.95133,50.05000
19.95167,50.05000
19.95200,50.05000
19.95233,50.05000
19.95267,50.05000
19.95300,50.05000
19.95333,50.05000
19.95367,50.05000
19.95400,50.05000
19.95433,50.05000
19.95467,50.05000
19.95500,50.05000
19.95533,50.05000
19.95567,50.05000
19.95600,50.05000
19.95633,50.05000
19.95667,50.05000
19.95700,50.05000
19.95733,50.05000
19.95767,50.05000
19.95800,50.05000
19.95833,50.05000
19.95867,50.05000
19.95900,50.05000
19.95933,50.05000
19.95967,50.05000
19.96000,50.05000
19.96033,50.05000
19.96067,50.05000
19.96100,50.05000
19.96133,50.05000
19.96167,50.05000
19.96200,50.05000
19.96233,50.05000
19.96267,50.05000
19.96300,50.05000
19.96333,50.05000
19.96367,50.05000
19.96400,50.05000
19.96433,50.05000
19.96467,50.05000
19.96500,50.05000
19.96533,50.05000
19.96567,50.05000
19.96600,50.05000
19.96633,50.05000
19.95000,50.05002
19.95033,50.05002
19.95067,50.05002
19.95100,50.05002
19.95133,50.05002
19.95167,50.05002
19.95200,50.05002
19.95233,50.05002
19.95267,50.05002
19.95300,50.05002
19.95333,50.05002
19.95367,50.05002
19.95400,50.05002
19.95433,50.05002
19.95467,50.05002
19.95500,50.05002
19.95533,50.05002
19.95567,50.05002
19.95600,50.05002
19.95633,50.05002
19.95667,50.05002
19.95700,50.05002
19.95733,50.05002
19.95767,50.05002
19.95800,50.05002
19.95833,50.05002
19.95867,50.05002
19.95900,50.05002
19.95933,50.05002
19.95967,50.05002
19.96000,50.05002
19.96033,50.05002
19.96067,50.05002
19.96100,50.05002
19.96133,50.05002
19.96167,50.05002
19.96200,50.05002
19.96233,50.05002
19.96267,50.05002
19.96300,50.05002
19.96333,50.05002
19.96367,50.05002
19.96400,50.05002
19.96433,50.05002
19.96467,50.05002
19.96500,50.05002
19.96533,50.05002
19.96567,50.05002
19.96600,50.05002
19.96633,50.05002
19.95000,50.05003
19.95033,50.05003
19.95067,50.05003
19.95100,50.05003
19.95133,50.05003
19.95167,50.05003
19.95200,50.05003
19.95233,50.05003
19.95267,50.05003
19.95300,50.05003
19.95333,50.05003
19.95367,50.05003
19.95400,50.05003
19.95433,50.05003
19.95467,50.05003
19.95500,50.05003
19.95533,50.05003
19.95567,50.05003
19.95600,50.05003
19.95633,50.05003
19.95667,50.05003
19.95700,50.05003
19.95733,50.05003
19.95767,50.05003
19.95800,50.05003
19.95833,50.05003
19.95867,50.05003
19.95900,50.05003
19.95933,50.05003
19.95967,50.05003
19.96000,50.05003
19.96033,50.05003
19.96067,50.05003
19.96100,50.05003
19.96133,50.05003
19.96167,50.05003
19.96200,50.05003
19.96233,50.05003
19.96267,50.05003
19.96300,50.05003
19.96333,50.05003
19.96367,50.05003
19.96400,50.05003
19.96433,50.05003
19.96467,50.05003
19.96500,50.05003
19.96533,50.05003
19.96567,50.05003
19.96600,50.05003
19.96633,50.05003
19.95000,50.05005
19.95033,50.05005
19.95067,50.05005
19.95100,50.05005
19.95133,50.05005
19.95167,50.05005
19.95200,50.05005
19.95233,50.05005
19.95267,50.05005
19.95300,50.05005
19.95333,50.05005
19.95367,50.05005
19.95400,50.05005
19.95433,50.05005
19.95467,50.05005
19.95500,50.05005
19.95533,50.05005
19.95567,50.05005
19.95600,50.05005
19.95633,50.05005
19.95667,50.05005
19.95700,50.05005
19.95733,50.05005
19.95767,50.05005
19.95800,50.05005
19.95833,50.05005
19.95867,50.05005
19.95900,50.05005
19.95933,50.05005
19.95967,50.05005
19.96000,50.05005
19.96033,50.05005
19.96067,50.05005
19.96100,50.05005
19.96133,50.05005
19.96167,50.05005
19.96200,50.05005
19.96233,50.05005
19.96267,50.05005
19.96300,50.05005
19.96333,50.05005
19.96367,50.05005
19.96400,50.05005
19.96433,50.05005
19.96467,50.05005
19.96500,50.05005
19.96533,50.05005
19.96567,50.05005
19.96600,50.05005
19.96633,50.05005
19.95000,50.05007
19.95033,50.05007
19.95067,50.05007
19.95100,50.05007
19.95133,50.05007
19.95167,50.05007
19.95200,50.05007
19.95233,50.05007
19.95267,50.05007
19.95300,50.05007
19.95333,50.05007
19.95367,50.05007
19.95400,50.05007
19.95433,50.05007
19.95467,50.05007
19.95500,50.05007
19.95533,50.05007
19.95567,50.05007
19.95600,50.05007
19.95633,50.05007
19.95667,50.05007
19.95700,50.05007
19.95733,50.05007
19.95767,50.05007
19.95800,50.05007
19.95833,50.05007
19.95867,50.05007
19.95900,50.05007
19.95933,50.05007
19.95967,50.05007
19.96000,50.05007
19.96033,50.05007
19.96067,50.05007
19.96100,50.05007
19.96133,50.05007
19.96167,50.05007
19.96200,50.05007
19.96233,50.05007
19.96267,50.05007
19.96300,50.05007
19.96333,50.05007
19.96367,50.05007
19.96400,50.05007
19.96433,50.05007
19.96467,50.05007
19.96500,50.05007
19.96533,50.05007
19.96567,50.05007
19.96600,50.05007
19.96633,50.05007
19.95000,50.05008
19.95033,50.05008
19.95067,50.05008
19.95100,50.05008
19.95133,50.05008
19.95167,50.05008
